dataset,variant,model,number users,number items,number interactions,avg. user degree,avg. item degree,rmse_mean,sparsity_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,rmse_sd,sparsity_sd,Precision@10_sd,Recall@10_sd,NDCG@10_sd,MRR@10_sd
online_retail,kcore10_sizematch_kcore50_seed44,MultiVAE,1445,1337,47529,32.8920415225,35.5489902767,,0.9753986226458554,0.003927003927003928,0.03927003927003927,0.021985669457838836,0.01666886666886667,,0.0,0.003693331790048897,0.03693331790048896,0.02435082446822821,0.02031470211818787
online_retail,kcore10_sizematch_kcore50_seed44,NeuMF,1445,1337,47529,32.8920415225,35.5489902767,,0.9753986226458554,0.017024717024717025,0.17024717024717026,0.08170425534259851,0.05505881339214672,,0.0,0.001009817186158207,0.010098171861582073,0.00876908230787361,0.00848371862125328
online_retail,kcore50_plain,BPR,1445,1337,158824,109.9128027682,118.7913238594,,0.9177914713775871,0.01453287197231834,0.1453287197231834,0.0777485816804073,0.057196682594606474,,0.0,0.0006228373702422147,0.00622837370242214,0.005256874605035273,0.005018470207363497
online_retail,kcore50_plain,ItemKNN,1445,1337,158824,109.9128027682,118.7913238594,,0.9177914713775871,0.019930795847750867,0.19930795847750868,0.11418722707087996,0.08827474780761978,,0.0,0.0004209524242420931,0.0042095242424209,0.0011975376670519935,0.0005510222840248228
online_retail,kcore50_plain,LightGCN,1445,1337,158824,109.9128027682,118.7913238594,,0.9177914713775871,0.013748558246828144,0.13748558246828144,0.07192118753785094,0.051971128320609294,,0.0,0.0004710629263359209,0.004710629263359197,0.0030345974027764246,0.0026530801504424826
online_retail,kcore50_plain,MultiVAE,1445,1337,158824,109.9128027682,118.7913238594,,0.9177914713775871,0.002906574394463668,0.02906574394463668,0.01582773633660489,0.01171097197048754,,0.0,0.000907603948000277,0.009076039480002768,0.005325736694561954,0.004111577109062974
online_retail,kcore50_plain,NeuMF,1445,1337,158824,109.9128027682,118.7913238594,,0.9177914713775871,0.012064590542099192,0.12064590542099192,0.06264864343180503,0.04508732904926677,,0.0,0.00027968525151054547,0.0027968525151054542,0.004207199666397745,0.0045604280011163345
online_retail,kcore5_sizematch_kcore50_seed42,BPR,1445,1337,40373,27.9397923875,30.1967090501,,0.9791026234947321,0.00650749063670412,0.0650749063670412,0.033322924029416855,0.023640650080256825,,0.0,0.000283809823337596,0.002838098233375969,0.0007626557084687653,0.0015624769885967606
online_retail,kcore5_sizematch_kcore50_seed42,ItemKNN,1445,1337,40373,27.9397923875,30.1967090501,,0.9791026234947321,0.01715823970037453,0.17158239700374533,0.09761900364873564,0.0750936329588015,,0.0,0.00020272130238399604,0.002027213023839975,0.0007118548942787044,0.0005747644481908338
online_retail,kcore5_sizematch_kcore50_seed42,LightGCN,1445,1337,40373,27.9397923875,30.1967090501,,0.9791026234947321,0.006577715355805244,0.06577715355805243,0.03123731001024913,0.020746574222697815,,0.0,0.0002466211084469273,0.002466211084469271,0.002233247977963415,0.0024149970160324973
online_retail,kcore5_sizematch_kcore50_seed42,MultiVAE,1445,1337,40373,27.9397923875,30.1967090501,,0.9791026234947321,0.0020833333333333333,0.020833333333333332,0.00925837899067881,0.005835525533559242,,0.0,0.0010232908705240821,0.010232908705240823,0.005182458175364878,0.0037146993693758907
online_retail,kcore5_sizematch_kcore50_seed42,NeuMF,1445,1337,40373,27.9397923875,30.1967090501,,0.9791026234947321,0.008450374531835206,0.08450374531835207,0.04276423445477603,0.030254592473693595,,0.0,0.0012210488160809907,0.012210488160809902,0.005462468100877525,0.0034331602081972357
online_retail,kcore5_sizematch_kcore50_seed43,BPR,1445,1337,39423,27.2823529412,29.4861630516,,0.9795943508293371,0.008697696285848613,0.08697696285848612,0.03824460309396694,0.02364730487085917,,0.0,0.0004308956929906751,0.004308956929906755,0.004748847105330294,0.004703308505609886
online_retail,kcore5_sizematch_kcore50_seed43,ItemKNN,1445,1337,39423,27.2823529412,29.4861630516,,0.9795943508293371,0.021156558533145273,0.21156558533145275,0.12503006773574663,0.09855103693256022,,0.0,0.00014104372355430456,0.0014104372355430161,0.0008106902560918733,0.0007811891114848541
online_retail,kcore5_sizematch_kcore50_seed43,LightGCN,1445,1337,39423,27.2823529412,29.4861630516,,0.9795943508293371,0.008580159849553362,0.08580159849553361,0.03619033605114231,0.021234356460026416,,0.0,0.000401004280894029,0.004010042808940286,0.0023215399773346087,0.0019013726573470897
online_retail,kcore5_sizematch_kcore50_seed43,MultiVAE,1445,1337,39423,27.2823529412,29.4861630516,,0.9795943508293371,0.004466384579219559,0.04466384579219559,0.028900072636173574,0.024130230371415137,,0.0,0.0030335332215778786,0.030335332215778783,0.027225649814109094,0.02627652369898817
online_retail,kcore5_sizematch_kcore50_seed43,NeuMF,1445,1337,39423,27.2823529412,29.4861630516,,0.9795943508293371,0.011706629055007052,0.11706629055007052,0.05399019773595685,0.03517968149491422,,0.0,0.00122350857354707,0.012235085735470712,0.006575845261018274,0.004997422168587689
online_retail,kcore5_sizematch_kcore50_seed44,BPR,1445,1337,39391,27.2602076125,29.4622288706,,0.9796109142763973,0.004617196702002356,0.046171967020023554,0.019974073587422345,0.012174640566866715,,0.0,0.000755666192336652,0.0075566619233665205,0.0037198637697450935,0.002693902772294941
online_retail,kcore5_sizematch_kcore50_seed44,ItemKNN,1445,1337,39391,27.2602076125,29.4622288706,,0.9796109142763973,0.02063604240282686,0.20636042402826857,0.121545943175854,0.09558229102398713,,0.0,7.06713780918738e-05,0.0007067137809187163,0.0003725103009643539,0.0003562033004393196
online_retail,kcore5_sizematch_kcore50_seed44,LightGCN,1445,1337,39391,27.2602076125,29.4622288706,,0.9796109142763973,0.003957597173144876,0.039575971731448764,0.01812444401605849,0.011663114401630302,,0.0,0.00046342321726515896,0.004634232172651591,0.0025371454676445964,0.0018189205944129554
online_retail,kcore5_sizematch_kcore50_seed44,MultiVAE,1445,1337,39391,27.2602076125,29.4622288706,,0.9796109142763973,0.0020494699646643106,0.02049469964664311,0.008805167030104087,0.005295585843289023,,0.0,0.0007172361530100507,0.007172361530100507,0.002468249585441471,0.0010977238017450465
online_retail,kcore5_sizematch_kcore50_seed44,NeuMF,1445,1337,39391,27.2602076125,29.4622288706,,0.9796109142763973,0.008504122497055358,0.0850412249705536,0.04028951315104056,0.026865219586067645,,0.0,0.0006412559523588315,0.0064125595235883185,0.0038066788494964744,0.002993822275210794
steam,kcore10_sizematch_kcore50_seed42,BPR,5105,2237,33661,6.5937316357,15.0473848905,,0.9970524221566154,0.012119920431940892,0.12119920431940893,0.060185893376701,0.041927833935506566,,0.0,0.0009933567099180676,0.009933567099180687,0.003759688140779471,0.0018855086132732925
steam,kcore10_sizematch_kcore50_seed42,ItemKNN,5105,2237,33661,6.5937316357,15.0473848905,,0.9970524221566154,0.007956805910770108,0.07956805910770105,0.0406347783935726,0.028965209272114642,,0.0,0.00012846789798256008,0.0012846789798255957,0.0006252173622132989,0.0007633825910621867
steam,kcore10_sizematch_kcore50_seed42,LightGCN,5105,2237,33661,6.5937316357,15.0473848905,,0.9970524221566154,0.01222648479681728,0.12226484796817277,0.06514339082150038,0.04789899051408003,,0.0,0.0005308288958005879,0.005308288958005865,0.001913421874522526,0.0010958783725393284
steam,kcore10_sizematch_kcore50_seed42,MultiVAE,5105,2237,33661,6.5937316357,15.0473848905,,0.9970524221566154,0.012816140949133276,0.12816140949133276,0.06285800400561543,0.04335782622227635,,0.0,0.00035171622036051637,0.003517162203605163,0.0035986095701704595,0.004040228335062675
steam,kcore10_sizematch_kcore50_seed42,NeuMF,5105,2237,33661,6.5937316357,15.0473848905,,0.9970524221566154,0.013114521170787157,0.13114521170787155,0.06806168020245983,0.04909936196700903,,0.0,0.00012846789798255908,0.0012846789798255879,0.0009446479569737321,0.0010837902852718
steam,kcore10_sizematch_kcore50_seed43,BPR,5105,2237,35935,7.0391772772,16.0639248994,,0.9968532958081452,0.016029143897996357,0.16029143897996356,0.08682079920941149,0.06448045730832616,,0.0,0.0005764753139181923,0.005764753139181937,0.006604407960766139,0.006809185447290304
steam,kcore10_sizematch_kcore50_seed43,ItemKNN,5105,2237,35935,7.0391772772,16.0639248994,,0.9968532958081452,0.011685582177385459,0.11685582177385456,0.06656802194568974,0.051157449108268783,,0.0,9.161199965407112e-05,0.0009161199965407105,0.0008991482474494681,0.0009310583396996781
steam,kcore10_sizematch_kcore50_seed43,LightGCN,5105,2237,35935,7.0391772772,16.0639248994,,0.9968532958081452,0.015531736023539302,0.15531736023539303,0.0855324384409925,0.06451050972908896,,0.0,0.0003235562067747107,0.003235562067747096,0.0017627732611957367,0.0013360868373632658
steam,kcore10_sizematch_kcore50_seed43,MultiVAE,5105,2237,35935,7.0391772772,16.0639248994,,0.9968532958081452,0.01483116155247303,0.14831161552473027,0.07491340208061403,0.05286901926246188,,0.0,0.00012668587165493483,0.0012668587165493373,0.005611082334634921,0.006826996877495229
steam,kcore10_sizematch_kcore50_seed43,NeuMF,5105,2237,35935,7.0391772772,16.0639248994,,0.9968532958081452,0.01616225304749895,0.1616225304749895,0.08877432286826392,0.06676416328055672,,0.0,0.00025826409683574024,0.0025826409683574205,0.001724590346609544,0.001753275449078961
